Messages,Start Date,District,Communication Channel,The message contains
"now people are celebrating the the christmas free because the covid 19 is no more in sierra leone, it has been kicked out of sierra leone.
even do people are still talking the covid 19 vaccine.",12/25/2022,Kambia,Word of mouth WhatsApp,Misinformation
"christmas celebration brought problems to the youth of sierra leone, who have used drugs (kush), with some people seriously sick after the enjoyment",12/30/2022,Kambia,Word of mouth,Concerns
covid-19 has ended in sierra leone,12/29/2022,Western Urban,Market/Shops/Street Word of mouth,Rumors
slbc reported that one police officer has arrested and detained one man for escorting a kush dealer,1/1/2023,Kambia,Radio,Information
the national civil registration authority (ncra) 2022 reported a 6.1 per cent decrease in birth and 21 per cent decrease in deaths in sierra leone,1/3/2023,Kambia,Word of mouth,Information
if you have asthma and you take the vaccine it will affect your system.,12/29/2022,Western Urban,Word of mouth,Concerns
people take the first dose of the vaccine because it is important to have the vaccination card,12/30/2022,Western Urban,Word of mouth,Information
if you are pressure patience and you take the vaccine it will affect you,12/1/2022,Western Urban,Word of mouth,Concerns
"if you take the covid-19 vaccine when sick, it will seriously affect you",1/2/2023,Western Urban,Word of mouth,Concerns
people are tired of hearing about taking the covid-19 vaccine. what they want is food now before they take the second dose,1/3/2023,Western Urban,Word of mouth,Concerns
"two motorbike riders hit them selves along the port loko high way between makambarie and masumailla village. two people were seriously injour, the other one break four of his teeth, and then brought at masiaka health facility for first aid treatment.",1/2/2023,Port Loko,Word of mouth,Information
"two motorbike riders hit them selves along the port loko high way between makambarie and masumailla village. two people were seriously injour, the other one break four of his teeth, and then brought at masiaka health facility for first aid treatment.",1/2/2023,Kono,Word of mouth,Information
"a vehicle step on the foot of a young lady when selling ground but along the bo lorry park at masiaka town,she is seriously injour and brought at masiaka health facility for treatment.",1/2/2023,Port Loko,Word of mouth,Information
the vaccine have side effect,1/4/2023,Western Urban,Word of mouth,Concerns
"in the year 2022 report, sierra leone recorded many cases of road accident in both districts in sierra leone.",1/5/2023,Kambia,Market/Shops/Street Radio,Concerns
there's another new covid-19 virus,1/6/2023,Bo,Word of mouth,Rumors
"today one staff of  c s e  a road construction company colaps at  their working  site man bridge, then brought at masiaka health facility on their way coming he passed away.",1/6/2023,Port Loko,Word of mouth,Information
the people in sierra leone thinking about the past war today.,1/6/2023,Western Urban,Word of mouth,Concerns
the peoples need covid 19 vaccination,11/7/2022,Tonkolili,Word of mouth,Information
"fire accident occur in this morning at bamoi luma, some houses distroy now,  they need people to rescue them",1/8/2023,Kambia,Word of mouth,Concerns
"one woman said the nurses told them that their is another vaccine prepared for the young adolescent girls with ages nine years to ten years both school going and non school going pupils.the cervical cancer that will lead adolescent girls not to born again and become prostitution.she also said the moment 
she get the information she will run to the school and removed their girls .",12/29/2022,Kambia,Word of mouth WhatsApp,Misinformation
one worker killed by electric current at marampa mines,1/9/2023,Port Loko,Radio,Concerns
fire incident,1/11/2023,Western Urban,Other,Concerns
"ebola called coronavirus to sierra leone, but corona never succeed in sierra leone",1/11/2023,Kambia,Word of mouth,Misinformation
disable people are paying 4 medical at k g h,1/12/2023,Kono,Radio,Concerns
more village need   c l a,1/12/2023,Kono,Word of mouth,Concerns
more village need   c l a,1/12/2023,Kambia,Word of mouth,Concerns
coronavirus damage the image of the country,1/13/2023,Kambia,Word of mouth,Rumors
"the government hospital kambia, reporting about the teenage pregnancy causes",1/17/2023,Kambia,Word of mouth,Concerns
the hpv vaccine is safe and can prevent girl child from cancer.,1/18/2023,Bo,Word of mouth,Information
"in this december, 22 we do not have any positive case and why are you talking to me about it. please avoid am not happy.",12/29/2022,Bo,Market/Shops/Street Word of mouth,Rumors
"we won't take any covid-19 vaccine, simply it will destroy our preventive measures.",1/18/2023,Bo,Social mobilization Activities Word of mouth,Information
"according to one report,  25 years old man, commit suicide at kono district",1/18/2023,Kono,WhatsApp,Concerns
"one woman said ebola preventive measures like calling of ambulances quarantined homes brought more loses of lifes during ebola time,she also added say the the ambulance drivers are the people who kills many people when travelled with sicked people they sprayed cholorines at the back of the ambulances before they reached to the hospital, they just say sierra leone recorded a case of ebola today kambia district.she said which of cause they have sprayed enough chlorines with stronged mixture.",1/8/2023,Kambia,Word of mouth,Rumors
"one pregnant woman said the nurses always asking them to pay for the antenatal clinic every time they go to the hospital for anc ,and she said it cost fifteen thousand leones.
and she also said the nurses always shouted to them and even the people that pay a visit to them when they go to the hospital to delivery.",1/18/2023,Kambia,Word of mouth,Concerns
"fatal accident occur at new hill side bye pass road freetown, sierra leone",1/19/2023,Western Urban,Radio WhatsApp,Concerns
"breaking news, over thirty car was burnt today at grafton, freetown",1/21/2023,Western Urban,WhatsApp,Concerns
suspected measles,1/30/2023,Tonkolili,Word of mouth,Concerns
suspected measles case,2/16/2023,Tonkolili,Social mobilization Activities,Concerns
i lost my appetite when i took covid 19 vaccine.,2/16/2023,Bo,Word of mouth,Rumors
the covid 19 vaccine is to finish african people,2/2/2023,Western Urban,Political events Word of mouth,Misinformation
booster is too much now,2/26/2023,Kono,Political events Word of mouth,Concerns
we really need the health workers to be bringing the vaccine to our village since we stay very far away from the health centre.,2/16/2023,Bo,Word of mouth,Concerns
chws/ps are going to be paid,2/26/2023,Kono,Word of mouth Other Social Media,Concerns
corona marklate killing people,1/18/2023,Bo,Word of mouth,Misinformation
covid 19 vaccination,12/17/2022,Kambia,Word of mouth,Information
accident,12/17/2022,Kambia,WhatsApp,Concerns
ebola vaccines,12/19/2022,Kambia,Word of mouth,Information
hpv vaccine,12/19/2022,Kambia,Word of mouth,Information
test,5/16/2023,Western Urban,Other,Information
"one pregnant woman said now they bought the antenatal clinic paper le15,000 and they also paid for malaria test,she said the nurses always told them that their is no free health care drugs' supplies in the hospitals, so they buy the drugs to the pharmacy for just to helping the community,",12/6/2022,Kambia,Word of mouth,Concerns
"one okada rider say the nurses now a days are not steady at the hospitals, they just roomed to their homes  and they left center,and now people are getting sick and their is no sufficient drugs to the hospitals.
and most of the vaccines given to the people are just added other sicknesses to the people especially the under five children,the side effects like crying a whole of the day and may be fever (hotbody) take place.",1/2/2010,Kambia,Word of mouth,Concerns
"today we sat together with the stakeholders in our community at the paramount chief barray normally called (kama)were one stakeholder said the now the chiefdom is very peaceful and now riots yet in the communities especially the head quarter town of dixon chiefdom,mafaray.another stakeholder said now no riot only the the health staffs of fodaya mchp and mafaray chc charge a huge amounts of money to the okada riders that involves in accident, and he also said the okada riders are ridding with a heavy speeds when they  drinking tramadolic and smoking kush.
and one said yesterday he went to the hospital to take his second doses of covid19 and the nurse ask him for his vaccination card.
and he said the nurses are still encouraging people to complete taking their doses of covid19,but they are still getting fear of the side effects especially the last dose ,and he said government has already declared covid19 free in sierra leone.",12/11/2022,Kambia,Market/Shops/Street Word of mouth WhatsApp,Rumors
